64gram-desktop 1:1.0.50-1
a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20220623.1-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acorn 1:8.8.0-1
acpi 1.7-3
acpi_call-dkms 1.2.2-1
acpilight 1.2-2
acpitool 0.5.1-7
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-mono-cn-fonts 1.002-6
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-otc-fonts 2.004-1
adobe-source-han-serif-cn-fonts 2.001-2
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aegisub 3.3.3-2
aha 0.5.1-2
akonadi 22.08.2-1
akonadi-calendar 22.08.2-1
akonadi-calendar-tools 22.08.2-1
akonadi-contacts 22.08.2-1
akonadi-import-wizard 22.08.2-1
akonadi-mime 22.08.2-1
akonadi-notes 22.08.2-1
akonadi-search 22.08.2-1
akonadiconsole 22.08.2-1
akregator 22.08.2-1
alembic 1.8.3-3
alibaba-puhuiti 2.0-1
alsa-card-profiles 1:0.3.59-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.7.2-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.7.1-1
alsa-tools 1.2.5-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
alsa-utils 1.2.7-1
amd-ucode 20220913.f09bebf-1
amf-headers 1.4.26-1
amtk 5.5.1-1
analitza 22.08.2-1
android-studio 2021.3.1.17-1
android-tools 33.0.3-1
android-udev 20220903-1
animdustry 1.1-1
anthy 9100h-6
aom 3.5.0-1
apache 2.4.54-2
appmenu-gtk-module 0.7.6-1
appstream 0.15.5-1
appstream-glib 0.8.1-1
appstream-qt 0.15.5-1
apr 1.7.0-3
apr-util 1.6.1-9
arandr 0.1.10-7
arc-icon-theme 20161122-3
arch-install-scripts 27-1
archlinux-appstream-data 20221014-1
archlinux-keyring 20220927-1
archlinuxcn-keyring 20220716-1
arctime 3.1.1-1
ardour 7.0-2
arduino 1:1.8.19-2
arduino-avr-core 1.8.3-1
